"ACCT_NUM","EXPIRE_DT","CLI_NUM","CLI_LEGAL_NAME","CLI_DBA","CONTACT_NAME_PREFIX","CONTACT_NAME_FIRST","CONTACT_NAME_MIDDLE","CONTACT_NAME_LAST","CONTACT_NAME_SUFFIX","CONTACT_NAME","ATTN_NAME","FACILITY_NAME","COUNTY_NAME"
"0237610","46538.0","00037096","MYERS GRAIN AND FERTILIZER INC","MYERS GRAIN AND FERTILIZER INC","","ANNELLE","","WELCH","","ANNELLE  WELCH","ANNELLE  WELCH","MYERS GRAIN AND FERTILIZER  - GILLILAND","KNOX"
"0237610","46538.0","00037096","MYERS GRAIN AND FERTILIZER INC","MYERS GRAIN AND FERTILIZER INC","","ANNELLE","","WELCH","","ANNELLE  WELCH","ANNELLE  WELCH","MYERS GRAIN AND FERTILIZER INC BENJAMIN","KNOX"
"0237353","46538.0","00032017","MUENSTER MILLING COMPANY LLC","MUENSTER MILLING CO","","CHAD","","FELDERHOFF","","CHAD  FELDERHOFF","CHAD  FELDERHOFF","MUENSTER MILLING COMPANY LLC","COOKE"
"0237618","46538.0","00032419","JOSEPH TRUCKING INC","WOOD HIGH GRAIN","","RANDY","","CHARBULA","","RANDY  CHARBULA","RANDY  CHARBULA","WOOD HIGH GRAIN","VICTORIA"
"0237636","46538.0","00043327","MID COAST GRAIN CO","MID COAST GRAIN CO","","KENNETH","","CHRISTENSEN","","KENNETH  CHRISTENSEN","KENNETH  CHRISTENSEN","MID COAST GRAIN CO","MATAGORDA"
"0240065","46538.0","00101067","HI STARR GRAIN ELEVATOR CORP","","","MIKE","","HUDSONPILLAR","","MIKE  HUDSONPILLAR","MIKE  HUDSONPILLAR","1 HI STARR GRAIN ELEVATOR CORP","HIDALGO"
"0240065","46538.0","00101067","HI STARR GRAIN ELEVATOR CORP","","","MIKE","","HUDSONPILLAR","","MIKE  HUDSONPILLAR","MIKE  HUDSONPILLAR","2 HI STARR GRAIN ELEVATOR CORP - MCCOOK","HIDALGO"
"0318568","46538.0","00146494","UVALDE COUNTY FARMERS COOPERATIVE","","","CHARLOTTE","A","MUECKE","","CHARLOTTE A MUECKE","CHARLOTTE A MUECKE","1 UVALDE COUNTY FARMERS COOP","UVALDE"
"0318568","46538.0","00146494","UVALDE COUNTY FARMERS COOPERATIVE","","","CHARLOTTE","A","MUECKE","","CHARLOTTE A MUECKE","CHARLOTTE A MUECKE","DD- UVALDE","UVALDE"
"0318568","46538.0","00146494","UVALDE COUNTY FARMERS COOPERATIVE","","","CHARLOTTE","A","MUECKE","","CHARLOTTE A MUECKE","CHARLOTTE A MUECKE","DD- SABINAL","UVALDE"
"0318568","46538.0","00146494","UVALDE COUNTY FARMERS COOPERATIVE","","","CHARLOTTE","A","MUECKE","","CHARLOTTE A MUECKE","CHARLOTTE A MUECKE","BATESVILLE","ZAVALA"
"0318572","46538.0","00046524","WILLIAMSON COUNTY GRAIN INC","WILLIAMSON COUNTY GRAIN INC","","DUSTIN","J","OWEN","","DUSTIN J OWEN","DUSTIN J OWEN","2 WILLIAMSON COUNTY GRAIN, INC.","WILLIAMSON"
"0318572","46538.0","00046524","WILLIAMSON COUNTY GRAIN INC","WILLIAMSON COUNTY GRAIN INC","","DUSTIN","J","OWEN","","DUSTIN J OWEN","DUSTIN J OWEN","1 WILLIAMSON COUNTY GRAIN, INC.","WILLIAMSON"
"0318572","46538.0","00046524","WILLIAMSON COUNTY GRAIN INC","WILLIAMSON COUNTY GRAIN INC","","DUSTIN","J","OWEN","","DUSTIN J OWEN","DUSTIN J OWEN","3 WILLIAMSON COUNTY GRAIN, INC.","BASTROP"
"0318572","46538.0","00046524","WILLIAMSON COUNTY GRAIN INC","WILLIAMSON COUNTY GRAIN INC","","DUSTIN","J","OWEN","","DUSTIN J OWEN","DUSTIN J OWEN","4  WILLIAMSON COUNTY GRAIN, INC.","WILLIAMSON"
"0318578","46538.0","00146452","WILLIAMS GIN AND GRAIN INC","WILLIAMS GIN AND GRAIN INC","","TODD","","MCGRAW","","TODD  MCGRAW","TODD  MCGRAW","1 WILLIAMS GIN & GRAIN, INC.","NAVARRO"
"0318578","46538.0","00146452","WILLIAMS GIN AND GRAIN INC","WILLIAMS GIN AND GRAIN INC","","TODD","","MCGRAW","","TODD  MCGRAW","TODD  MCGRAW","2 WILLIAMS GIN & GRAIN INC","NAVARRO"
"0318578","46538.0","00146452","WILLIAMS GIN AND GRAIN INC","WILLIAMS GIN AND GRAIN INC","","TODD","","MCGRAW","","TODD  MCGRAW","TODD  MCGRAW","3 WILLIAMS GIN & GRAIN, INC.","HILL"
"0318766","46538.0","00146662","FARMERS COOP GIN AND ELEVATOR","FARMERS COOP GIN AND ELEVATOR","","LARRY","","BROWN","","LARRY  BROWN","LARRY  BROWN","1 FARMERS COOPERATIVE GIN & ELEVATOR (VERNON)","WILBARGER"
"0319073","46538.0","00146670","FARMER'S GRAIN COOPERATIVE OF MUNDAY TEXAS","FARMER'S GRAIN COOP OF MUNDAY","","JOSEPH","","PRIBYLA","","JOSEPH  PRIBYLA","JOSEPH  PRIBYLA","1 FARMER'S GRAIN COOPERATIVE OF MUNDAY","KNOX"
"0319171","46538.0","00146850","GRAIN INVESTORS INC","FARMERS ELEVATOR OF HAPPY","","SETH","","BRYAN","","SETH  BRYAN","SETH  BRYAN","1 FARMERS ELEVATOR OF HAPPY","SWISHER"
"0319493","46538.0","00146993","MARTINEK GRAIN AND BINS INC","MARTINEK GRAIN AND BINS INC","MR.","DONNIE","R","MARTINEK","","DONNIE R MARTINEK","DONNIE R MARTINEK","1 MARTINEK GRAIN AND BINS INC","GRAYSON"
"0319493","46538.0","00146993","MARTINEK GRAIN AND BINS INC","MARTINEK GRAIN AND BINS INC","MR.","DONNIE","R","MARTINEK","","DONNIE R MARTINEK","DONNIE R MARTINEK","2 MARTINEK GRAIN & BINS INC (CELINA)","COLLIN"
"0319493","46538.0","00146993","MARTINEK GRAIN AND BINS INC","MARTINEK GRAIN AND BINS INC","MR.","DONNIE","R","MARTINEK","","DONNIE R MARTINEK","DONNIE R MARTINEK","4 MARTINEK GRAIN (WHITEWRIGHT)","GRAYSON"
"0319493","46538.0","00146993","MARTINEK GRAIN AND BINS INC","MARTINEK GRAIN AND BINS INC","MR.","DONNIE","R","MARTINEK","","DONNIE R MARTINEK","DONNIE R MARTINEK","5 MARTINEK GRAIN AND BINS INC GREENVILLE","HUNT"
"0319493","46538.0","00146993","MARTINEK GRAIN AND BINS INC","MARTINEK GRAIN AND BINS INC","MR.","DONNIE","R","MARTINEK","","DONNIE R MARTINEK","DONNIE R MARTINEK","6 MARTINEK GRAIN & BINS INC (ANNEX A)","GRAYSON"
