State,County,City,Business Entity,Warehouse Name,License Type,License Status,[License Number],CCC Code,CCC Status,Functional Unit,Capacities,Year of Ingest Date,Month of Ingest Date,Day of Ingest Date
MN,"Winona, MN",WINONA,CHS Inc.,CHS Inc. Elevators,Federal,I - Issued,[3-9545],[2-0256],Approved,12,"611,000",2026,September,9
MN,"Lac Qui Parle, MN",BOYD,"Prairie Grain Partners, LLC",Prairie Grain Partners Elevators,Federal,I - Issued,[3-9369],[2-0259],Approved,2,"320,000",2026,September,9
MN,"Yellow Medicine, MN",CLARKFIELD,"Prairie Grain Partners, LLC",Prairie Grain Partners Elevators,Federal,I - Issued,[3-9369],[2-0259],Approved,1,"15,674,000",2026,September,9
SD,"Hand, SD",Miller,"Prairie Grain Partners, LLC",Prairie Grain Partners Elevators,Federal,I - Issued,[3-9369],[2-0259],Approved,4,"8,700,000",2026,September,9
SD,"Hughes, SD",Harrold,"Prairie Grain Partners, LLC",Prairie Grain Partners Elevators,Federal,I - Issued,[3-9369],[2-0259],Approved,3,"5,626,000",2026,September,9
SD,"Spink, SD",Tulare,"Prairie Grain Partners, LLC",Prairie Grain Partners Elevators,Federal,I - Issued,[3-9369],[2-0259],Approved,5,"5,104,000",2026,September,9
MN,"Kittson, MN",Kennedy,CHS Inc.,CHS Hallock Elevator,Federal,I - Issued,[3-10112],[2-0265],Approved,1,"1,375,000",2026,September,9
ND,"Pembina, ND",Joliette,CHS Inc.,CHS Hallock Elevator,Federal,I - Issued,[3-10112],[2-0265],Approved,2,"738,000",2026,September,9
MN,"Freeborn, MN",Albert Lea,"Albert Lea Elevator Co., Inc.","ALBERT LEA ELEVATOR CO., INC.",State,,[],[2-0266],Approved,1,"1,537,000",2026,September,9
MN,"Clay, MN",Glyndon,Maple River Coop,Maple River Coop,State,,[],[2-0274],Approved,1,"2,048,000",2026,September,9
MN,"Clay, MN",Moorhead,Maple River Coop,Maple River Coop,State,,[],[2-0274],Approved,2,"800,000",2026,September,9
MN,"Clay, MN",Sabin,Maple River Coop,Maple River Coop,State,,[],[2-0274],Approved,3,"495,000",2026,September,9
MN,"Wilkin, MN",Rothsay,Maple River Coop,Maple River Coop,State,,[],[2-0274],Approved,4,"1,362,000",2026,September,9
MN,"Blue Earth, MN",RAPIDAN,"Amboy Grain, Inc.",Rapidan Elevator,Federal,I - Issued,[3-9607],[2-0277],Approved,1,"997,000",2026,September,9
MN,"Murray, MN",CURRIE,"Schmitz Grain, Inc.","SCHMITZ GRAIN, INC.",State,,[],[2-0294],Approved,1,"1,439,000",2026,September,9
MN,"Murray, MN",DOVRAY,"Schmitz Grain, Inc.","SCHMITZ GRAIN, INC.",State,,[],[2-0294],Approved,6,"2,895,000",2026,September,9
MN,"Murray, MN",IONA,"Schmitz Grain, Inc.","SCHMITZ GRAIN, INC.",State,,[],[2-0294],Approved,4,"1,301,000",2026,September,9
MN,"Murray, MN",LAKE WILSON,"Schmitz Grain, Inc.","SCHMITZ GRAIN, INC.",State,,[],[2-0294],Approved,3,"2,135,000",2026,September,9
MN,"Murray, MN",SLAYTON,"Schmitz Grain, Inc.","SCHMITZ GRAIN, INC.",State,,[],[2-0294],Approved,2,"1,293,000",2026,September,9
MN,"Redwood, MN",SANBORN,"Schmitz Grain, Inc.","SCHMITZ GRAIN, INC.",State,,[],[2-0294],Approved,5,"2,541,000",2026,September,9
MN,"Dakota, MN",CASTLE ROCK,"Farmers Mill & Elevator, Inc.",FARMERS MILL & ELEVATOR,Federal,I - Issued,[3-7561],[2-0298],Approved,1,"1,692,000",2026,September,9
MN,"Lac Qui Parle, MN",DAWSON,Dawson Grain Co-op,Dawson Grain Elevator,Federal,I - Issued,[3-8905],[2-0319],Approved,1,"3,367,000",2026,September,9
MN,"Mower, MN",Dexter,"Dexter Elevator, Inc.","Dexter Elevator, Inc.",State,,[],[2-0325],Approved,1,,2026,September,9
MN,"Fillmore, MN",HARMONY,"Harmony Agri Services, Inc.",Harmony Elevator,Federal,I - Issued,[3-8892],[2-0338],Approved,1,"1,219,000",2026,September,9
MN,"Lyon, MN",Marshall,Archer-Daniels-Midland Company,ADM Processing Company - Minnesota Warehouses,Federal,I - Issued,[3-9707],[2-0340],Approved,5,"3,282,000",2026,September,9
MN,"Pipestone, MN",Holland,Archer-Daniels-Midland Company,ADM Processing Company - Minnesota Warehouses,Federal,I - Issued,[3-9707],[2-0340],Approved,4,"2,257,000",2026,September,9
MN,"Polk, MN",Eldred,"Farmers Elevator Company of Eldred, Minnesota","Farmers Elevator Company of Eldred, Minnesota",State,,[],[2-0370],Approved,1,"804,000",2026,September,9
MN,"Grant, MN",ELBOW LAKE,Elbow Lake Co-op Grain,ELBOW LAKE CO-OP GRAIN,State,,[],[2-0371],Approved,1,,2026,September,9
MN,"Grant, MN",WENDELL,Elbow Lake Co-op Grain,ELBOW LAKE CO-OP GRAIN,State,,[],[2-0371],Approved,2,,2026,September,9
MN,"Brown, MN",COBDEN,Central United Cooperative,Central United Cooperative Elevators,Federal,I - Issued,[3-10230],[2-0405],Approved,6,"2,279,000",2026,September,9
MN,"Brown, MN",NEW ULM,Central United Cooperative,Central United Cooperative Elevators,Federal,I - Issued,[3-10230],[2-0405],Approved,12,"2,036,000",2026,September,9
MN,"Brown, MN",SLEEPY EYE,Central United Cooperative,Central United Cooperative Elevators,Federal,I - Issued,[3-10230],[2-0405],Approved,5,"3,770,000",2026,September,9
MN,"Brown, MN",Sleepy Eye,Central United Cooperative,Central United Cooperative Elevators,Federal,I - Issued,[3-10230],[2-0405],Approved,4,"1,993,000",2026,September,9
MN,"Carver, MN",COLOGNE,Central United Cooperative,Central United Cooperative Elevators,Federal,I - Issued,[3-10230],[2-0405],Approved,9,"165,000",2026,September,9
MN,"Le Sueur, MN",LESUEUR,Central United Cooperative,Central United Cooperative Elevators,Federal,I - Issued,[3-10230],[2-0405],Approved,3,"774,000",2026,September,9
MN,"McLeod, MN",BROWNTON,Central United Cooperative,Central United Cooperative Elevators,Federal,I - Issued,[3-10230],[2-0405],Approved,8,"8,201,000",2026,September,9
MN,"Meeker, MN",Cosmos,Central United Cooperative,Central United Cooperative Elevators,Federal,I - Issued,[3-10230],[2-0405],Approved,14,"419,000",2026,September,9
MN,"Meeker, MN",LITCHFIELD,Central United Cooperative,Central United Cooperative Elevators,Federal,I - Issued,[3-10230],[2-0405],Approved,10,"1,936,000",2026,September,9
MN,"Nicollet, MN",KLOSSNER,Central United Cooperative,Central United Cooperative Elevators,Federal,I - Issued,[3-10230],[2-0405],Approved,2,"1,756,000",2026,September,9
MN,"Renville, MN",BIRD ISLAND,Central United Cooperative,Central United Cooperative Elevators,Federal,I - Issued,[3-10230],[2-0405],Approved,7,"515,000",2026,September,9
MN,"Renville, MN",Buffalo Lake,Central United Cooperative,Central United Cooperative Elevators,Federal,I - Issued,[3-10230],[2-0405],Approved,16,"7,045,000",2026,September,9
MN,"Renville, MN",Fairfax,Central United Cooperative,Central United Cooperative Elevators,Federal,I - Issued,[3-10230],[2-0405],Approved,11,"6,132,000",2026,September,9
MN,"Renville, MN",Hector,Central United Cooperative,Central United Cooperative Elevators,Federal,I - Issued,[3-10230],[2-0405],Approved,13,"1,780,000",2026,September,9
MN,"Sibley, MN",Gibbon,Central United Cooperative,Central United Cooperative Elevators,Federal,I - Issued,[3-10230],[2-0405],Approved,15,"2,074,000",2026,September,9
MN,"Sibley, MN",WINTHROP,Central United Cooperative,Central United Cooperative Elevators,Federal,I - Issued,[3-10230],[2-0405],Approved,1,"2,335,000",2026,September,9
MN,"Otter Tail, MN",Fergus Falls,Farmers Elevator of Fergus Falls,Farmers Elevator of Fergus Falls,State,,[],[2-0410],Approved,1,"978,000",2026,September,9
MN,"Otter Tail, MN",HENNING,Farmers Elevator of Fergus Falls,Farmers Elevator of Fergus Falls,State,,[],[2-0410],Approved,2,"434,000",2026,September,9
MN,"Polk, MN",FOSSTON,Fosston Tri-Co-op,FOSSTON COOP ELEVATOR ASSOCIATION,State,,[],[2-0419],Approved,1,"1,399,000",2026,September,9
MN,"Polk, MN",Gully,Fosston Tri-Co-op,FOSSTON COOP ELEVATOR ASSOCIATION,State,,[],[2-0419],Approved,3,"588,000",2026,September,9
MN,"Polk, MN",Mcintosh,Fosston Tri-Co-op,FOSSTON COOP ELEVATOR ASSOCIATION,State,,[],[2-0419],Approved,2,"401,000",2026,September,9
MN,"Clay, MN",GEORGETOWN,Georgetown Farmers' Elevator Company,GEORGETOWN FARMERS' ELEVATOR COMPANY,State,,[],[2-0456],Approved,1,"603,000",2026,September,9
MN,"Norman, MN",PERLEY,Georgetown Farmers' Elevator Company,GEORGETOWN FARMERS' ELEVATOR COMPANY,State,,[],[2-0456],Approved,2,"356,000",2026,September,9
MN,"Murray, MN",HADLEY,Hadley Farmers Elevator Company,HADLEY FARMERS ELEVATOR COMPANY,State,,[],[2-0491],Approved,1,"2,820,000",2026,September,9
MN,"Goodhue, MN",BELLECHESTER,Ag Partners Coop,AG PARTNERS ELEVATOR,Federal,I - Issued,[3-9280],[2-0499],Approved,1,"1,431,000",2026,September,9
MN,"Goodhue, MN",CANNON FALLS,Ag Partners Coop,AG PARTNERS ELEVATOR,Federal,I - Issued,[3-9280],[2-0499],Approved,2,"965,000",2026,September,9
MN,"Goodhue, MN",GOODHUE,Ag Partners Coop,AG PARTNERS ELEVATOR,Federal,I - Issued,[3-9280],[2-0499],Approved,3,"745,000",2026,September,9
