operator_rank,operator,operator_facilities_in_gap,branch,city,state,lat,lon,website
8,"Premier Cooperative - IL",22,"Indianola","Jamaica","IL",40.0373,-87.8365,""
8,"Premier Cooperative - IL",22,"Galesville","Mansfield","IL",40.2147,-88.5179,""
8,"Premier Cooperative - IL",22,"Rossville","Rossville","IL",40.3625,-87.6692,""
8,"Premier Cooperative - IL",22,"Collison","Royal","IL",40.1924,-87.9742,""
8,"Premier Cooperative - IL",22,"Ellis","Royal","IL",40.1924,-87.9742,""
8,"Premier Cooperative - IL",22,"Gifford","Royal","IL",40.1924,-87.9742,""
8,"Premier Cooperative - IL",22,"Reilly","Royal","IL",40.1924,-87.9742,""
8,"Premier Cooperative - IL",22,"Royal","Royal","IL",40.1924,-87.9742,""
8,"Premier Cooperative - IL",22,"Sadorus","Sadorus","IL",39.9613,-88.3447,""
8,"Premier Cooperative - IL",22,"Broadlands","Sidney","IL",40.0232,-88.069,""
8,"Premier Cooperative - IL",22,"Fulls Siding","Sidney","IL",40.0232,-88.069,""
8,"Premier Cooperative - IL",22,"Sidney","Sidney","IL",40.0232,-88.069,""
8,"Premier Cooperative - IL",22,"Leverett","Thomasboro","IL",40.2402,-88.183,""
8,"Premier Cooperative - IL",22,"Thomasboro","Thomasboro","IL",40.2402,-88.183,""
8,"Premier Cooperative - IL",22,"Miller Station","Tolono","IL",39.985,-88.2596,""
8,"Premier Cooperative - IL",22,"Rising","Tolono","IL",39.985,-88.2596,""
8,"Premier Cooperative - IL",22,"Tolono","Tolono","IL",39.985,-88.2596,""
9,"Western Grain Marketing - FS",20,"Arenzville","Arenzville","IL",39.8979,-90.3636,""
9,"Western Grain Marketing - FS",20,"Philadelphia","Ashland","IL",39.9386,-90.0792,""
9,"Western Grain Marketing - FS",20,"Prentice","Ashland","IL",39.9386,-90.0792,""
9,"Western Grain Marketing - FS",20,"Cargill (Beardstown)","Beardstown","IL",40.0044,-90.4229,""
9,"Western Grain Marketing - FS",20,"Cargill (Frederick)","Beardstown","IL",40.0044,-90.4229,""
9,"Western Grain Marketing - FS",20,"Bluff Springs","Bluff Springs","IL",39.9796,-90.3524,""
9,"Western Grain Marketing - FS",20,"Chandlerville","Chandlerville","IL",40.0374,-90.1163,""
9,"Western Grain Marketing - FS",20,"Chapin","Chapin","IL",39.7716,-90.4113,""
9,"Western Grain Marketing - FS",20,"Biggs","Easton","IL",40.2279,-89.8903,""
9,"Western Grain Marketing - FS",20,"Easton","Easton","IL",40.2279,-89.8903,""
9,"Western Grain Marketing - FS",20,"Fiatt","Fiatt","IL",40.5603,-90.1798,""
9,"Western Grain Marketing - FS",20,"Forest City","Forest City","IL",40.3594,-89.8334,""
9,"Western Grain Marketing - FS",20,"Manito","Manito","IL",40.416,-89.7898,""
9,"Western Grain Marketing - FS",20,"ALTO/ICP Pekin","Pekin","IL",40.5674,-89.6243,""
9,"Western Grain Marketing - FS",20,"Atterberry","Petersburg","IL",40.0117,-89.8482,""
9,"Western Grain Marketing - FS",20,"Cargill (Florence)","Pittsfield","IL",39.6013,-90.8073,""
9,"Western Grain Marketing - FS",20,"Rushville","Rushville","IL",40.1133,-90.5432,""
9,"Western Grain Marketing - FS",20,"Bartlett","South Jacksonville","IL",39.7339,-90.229,""
9,"Western Grain Marketing - FS",20,"Tallula","Tallula","IL",39.9445,-89.9373,""
9,"Western Grain Marketing - FS",20,"Virginia","Virginia","IL",39.9512,-90.2123,""
10,"ADM Grain",18,"Carthage, MO","Carthage","MO",37.1597,-94.3112,""
10,"ADM Grain",18,"Cheney, Washington (MILLING) - 240","Cheney","WA",47.4943,-117.5834,""
10,"ADM Grain",18,"Curran, IL","Curran","IL",39.7681,-89.855,""
10,"ADM Grain",18,"Decatur, IL","Decatur","IL",39.8583,-88.9382,""
10,"ADM Grain",18,"Decatur, Illinois (BEANS) - YA5","Decatur","IL",39.8395,-88.9465,""
10,"ADM Grain",18,"Heloise, TN - 8B8","Dyersburg","TN",36.0444,-89.3836,""
10,"ADM Grain",18,"Enderlin, ND (Northern Sun)","Enderlin","ND",46.6079,-97.6106,""
10,"ADM Grain",18,"Hensler, ND","Hensler","ND",47.1459,-101.1594,""
10,"ADM Grain",18,"Hutchinson, Kansas - FN1","Hutchinson","KS",38.1156,-97.8937,""
10,"ADM Grain",18,"Logansport, IN","Logansport","IN",40.7604,-86.3599,""
10,"ADM Grain",18,"Ottawa, IL South","Ottawa","IL",41.3526,-88.8416,""
10,"ADM Grain",18,"Ottawa Lake, MI - X49","Ottawa Lake","MI",41.7683,-83.6856,""
10,"ADM Grain",18,"Spring Valley, IL","Spring Valley","IL",41.3279,-89.2042,""
10,"ADM Grain",18,"Swanington, IN","Swanington","IN",40.6255,-87.309,""
10,"ADM Grain",18,"Toledo, OH","Toledo","OH",41.6525,-83.5085,""
10,"ADM Grain",18,"Velva, ND","Velva","ND",48.0675,-100.9346,""
10,"ADM Grain",18,"Webberville, MI","Webberville","MI",42.6967,-84.2926,""
10,"ADM Grain",18,"Winona, MN","Winona","MN",44.03,-91.7009,""
11,"MFA Inc",18,"Boonville","Boonville","MO",38.9536,-92.745,""
11,"MFA Inc",18,"California","California","MO",38.6224,-92.5456,""
11,"MFA Inc",18,"Clark","Clark","MO",39.2811,-92.3427,""
11,"MFA Inc",18,"Glasgow","Glasgow","MO",39.2257,-92.8318,""
11,"MFA Inc",18,"Jefferson City","Jefferson City","MO",38.5462,-92.1525,""
11,"MFA Inc",18,"Laddonia","Laddonia","MO",39.2425,-91.6454,""
11,"MFA Inc",18,"Lamar","Lamar","MO",37.5191,-94.3364,""
11,"MFA Inc",18,"Macon","Macon","MO",39.7481,-92.4622,""
11,"MFA Inc",18,"Moberly","Moberly","MO",39.4202,-92.4358,""
11,"MFA Inc",18,"Montgomery City","Montgomery City","MO",38.9839,-91.5085,""
11,"MFA Inc",18,"Salisbury","Salisbury","MO",39.4319,-92.8014,""
11,"MFA Inc",18,"Sedalia","Sedalia","MO",38.6961,-93.2323,""
11,"MFA Inc",18,"Shelbina","Shelbina","MO",39.6947,-92.0371,""
11,"MFA Inc",18,"Sweet Springs","Sweet Springs","MO",38.966,-93.4247,""
11,"MFA Inc",18,"Tipton","Tipton","MO",38.6548,-92.7814,""
11,"MFA Inc",18,"Vandalia","Vandalia","MO",39.2949,-91.4883,""
11,"MFA Inc",18,"Versailles","Versailles","MO",38.4365,-92.8258,""
11,"MFA Inc",18,"Martinsburg Downtown","Wellsville","MO",39.0765,-91.5645,""
12,"Central Prairie Co-op",16,"ALDEN","Alden","KS",38.2343,-98.3112,""
12,"Central Prairie Co-op",16,"BUSHTON","Bushton","KS",38.5018,-98.4016,""
12,"Central Prairie Co-op",16,"CHASE","Chase","KS",38.3635,-98.3556,""
12,"Central Prairie Co-op",16,"CLAFLIN","Claflin","KS",38.5409,-98.5372,""
12,"Central Prairie Co-op",16,"FREDERICK","Frederick","KS",38.5037,-98.1858,""
12,"Central Prairie Co-op",16,"GENESEO","Geneseo","KS",38.5037,-98.1858,""
12,"Central Prairie Co-op",16,"HUTCHINSON","Hutchinson","KS",38.055,-97.9311,""
12,"Central Prairie Co-op",16,"LITTLE RIVER ELEVATOR","Little River","KS",38.4079,-98.0113,""
12,"Central Prairie Co-op",16,"LORRAINE","Lorraine","KS",38.5652,-98.29,""
12,"Central Prairie Co-op",16,"LYONS","Lyons","KS",38.3349,-98.1831,""
12,"Central Prairie Co-op",16,"NICKERSON","Nickerson","KS",38.1412,-98.0674,""
12,"Central Prairie Co-op",16,"PARTRIDGE","Partridge","KS",37.9671,-98.0798,""
12,"Central Prairie Co-op",16,"POLLARD","Pollard","KS",38.3349,-98.1831,""
12,"Central Prairie Co-op",16,"STERLING STATION","Sterling","KS",38.2126,-98.2055,""
12,"Central Prairie Co-op",16,"STERLING","Sterling","KS",38.2126,-98.2055,""
